,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
1,CVSpharmacy,Cafe,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,CVSpharmacy,Cafe,MobileKiosk,PhotoLab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,CVSpharmacy,Cafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,CVSpharmacy,Cafe-Pizza,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,AcceptsWIC,Bakery,CVSpharmacy,Cafe,Deli,FreshGrocery,MobileKiosk,Optical,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA
10,CVSpharmacy,Cafe-Pizza,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,AcceptsWIC,Bakery,CVSpharmacy,Cafe,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA
12,AcceptsWIC,Bakery,CVSpharmacy,Cafe,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA
13,CVSpharmacy,Cafe-Pizza,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,CVSpharmacy,Cafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA
18,BeautyConcierge,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,CVSpharmacy,Cafe-Pizza,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA
21,AcceptsWIC,Bakery,CVSpharmacy,Cafe,Deli,FreshGrocery,MobileKiosk,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
22,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,BeautyConcierge,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Optical,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,CVSpharmacy,Cafe-Pizza,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Cafe,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,BeautyConcierge,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,CVSpharmacy,FreshGrocery,MobileKiosk,Optical,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
34,BeautyConcierge,Cafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,AcceptsWIC,Bakery,BeautyConcierge,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA
36,BeautyConcierge,CVSpharmacy,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA
38,BeautyConcierge,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA
42,BeautyConcierge,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,Optical,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
44,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA
46,BeautyConcierge,Cafe,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA
48,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,AcceptsWIC,Bakery,CVSpharmacy,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA
50,CVSpharmacy,Cafe,MobileKiosk,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,CVSpharmacy,Cafe-Pizza,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,CVSpharmacy,Cafe-Pizza,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,AcceptsWIC,Bakery,CVSpharmacy,Cafe,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA
54,CVSpharmacy,Cafe-Pizza,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Cafe,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,AcceptsWIC,Bakery,CVSpharmacy,Cafe,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA
58,Cafe,FreshGrocery,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,BeerAvailable,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,BeerAvailable,CVSpharmacy,Cafe-Pizza,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,CVSpharmacy,Cafe,MobileKiosk,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,AcceptsWIC,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Cafe,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,AcceptsWIC,Bakery,BeerAvailable,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,NA,NA,NA,NA,NA
71,AcceptsWIC,CVSpharmacy,Cafe,DriveUp,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,CVSpharmacy,Cafe-Pizza,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Optical,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
75,BeerAvailable,CVSpharmacy,Cafe,MobileKiosk,Optical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,AcceptsWIC,CVSpharmacy,Cafe,DriveUp,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,AcceptsWIC,Bakery,BeerAvailable,CVSpharmacy,Cafe-Pizza,Deli,FreshGrocery,MobileKiosk,Optical,Starbucks,,NA,NA,NA,NA,NA,NA
81,Cafe,FreshGrocery,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,AcceptsWIC,CVSpharmacy,Cafe,DriveUp,FreshGrocery,MobileKiosk,PhotoLab,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,BeerAvailable,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,BeerAvailable,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,BeerAvailable,Cafe,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,AcceptsWIC,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,CVSpharmacy,DriveUp,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,CVSpharmacy,Cafe,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,CVSpharmacy,Cafe,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,BeerAvailable,CVSpharmacy,Cafe-Pizza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,AcceptsWIC,CVSpharmacy,Cafe,DriveUp,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
104,CVSpharmacy,Cafe-Pizza,FreshGrocery,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,AcceptsWIC,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,AcceptsWIC,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Optical,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,BeerAvailable,CVSpharmacy,Cafe-Pizza,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,BeerAvailable,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,AcceptsWIC,Bakery,BeerAvailable,CVSpharmacy,Cafe,Deli,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,NA,NA,NA,NA,NA
112,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,BeerAvailable,Cafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,BeerAvailable,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,BeerAvailable,Cafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,BeerAvailable,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,BeerAvailable,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,BeerAvailable,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,CVSpharmacy,Cafe-Pizza,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Cafe,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,BeerAvailable,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
126,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,CVSpharmacy,Cafe,DriveUp,MobileKiosk,Optical,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
128,CVSpharmacy,Cafe,DriveUp,FreshGrocery,MobileKiosk,Optical,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
129,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
130,CVSpharmacy,Cafe,DriveUp,FreshGrocery,MobileKiosk,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Bakery,CVSpharmacy,Cafe-Pizza,Deli,DriveUp,FreshGrocery,MobileKiosk,Optical,Starbucks,,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA
132,AcceptsWIC,Bakery,CVSpharmacy,Cafe,Deli,DriveUp,FreshGrocery,MobileKiosk,Optical,Starbucks,,Wine,Beer,&SpiritsAvailable,NA,NA,NA
133,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
134,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,CVSpharmacy,Cafe-Pizza,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,AcceptsWIC,Cafe,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,PhotoLab,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Cafe,FreshGrocery,MobileKiosk,PhotoLab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Cafe,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
148,CVSpharmacy,MobileKiosk,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,CVSpharmacy,Cafe,DriveUp,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,CVSpharmacy,Cafe-Pizza,DriveUp,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,DriveUp,FreshGrocery,MobileKiosk,Optical,Starbucks,,Wine,Beer,&SpiritsAvailable,NA,NA,NA
152,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,DriveUp,FreshGrocery,MobileKiosk,Optical,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA
153,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,DriveUp,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA,NA
155,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,AcceptsWIC,CVSpharmacy,DriveUp,FreshGrocery,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,CVSpharmacy,Cafe,DriveUp,MobileKiosk,Optical,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,AcceptsWIC,CVSpharmacy,Cafe,DriveUp,FreshGrocery,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA
160,AcceptsWIC,CVSpharmacy,Cafe,DriveUp,FreshGrocery,MobileKiosk,Optical,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,AcceptsWIC,Bakery,CVSpharmacy,Cafe-Pizza,Deli,DriveUp,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,,Wine&BeerAvailable,NA,NA,NA,NA
163,AcceptsWIC,CVSpharmacy,Cafe-Pizza,DriveUp,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA
164,BeerAvailable,Cafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
